,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,5902700000.0,5692500000.0,5727000000.0,5915700000.0,13264000000.0,15135000000.0
1,1,Cost of revenue,3673600000.0,3514300000.0,3523600000.0,3611100000.0,8865200000.0,9752100000.0
2,2,Gross profit,2229100000.0,2178200000.0,2203400000.0,2304600000.0,4398800000.0,5382900000.0
3,3,Operating expenses,1577200000.0,1557200000.0,1598700000.0,1703200000.0,3298700000.0,3967300000.0
4,3,"Sales, General and administrative",1521100000.0,1446100000.0,1545900000.0,1626000000.0,3223800000.0,3766900000.0
5,3,"Restructuring, merger and acquisition",56100000.0,111100000.0,52800000.0,77200000.0,74900000.0,115400000.0
6,3,Other operating expenses,0.0,0.0,0.0,0.0,0.0,85000000.0
7,3,Total operating expenses,1577200000.0,1557200000.0,1598700000.0,1703200000.0,3298700000.0,3967300000.0
8,8,Operating income,651900000.0,621000000.0,604700000.0,601400000.0,1100100000.0,1415600000.0
9,9,Interest Expense,80400000.0,60300000.0,64300000.0,88100000.0,,
10,10,Other income (expense),-5600000.0,-18500000.0,-78300000.0,-175800000.0,-285600000.0,203200000.0
11,11,Income before taxes,565900000.0,542200000.0,462100000.0,337500000.0,814500000.0,1618800000.0
12,12,Provision for income taxes,166300000.0,122100000.0,89100000.0,78200000.0,286000000.0,357000000.0
13,13,Net income from continuing operations,399600000.0,420100000.0,373000000.0,259300000.0,528500000.0,1261800000.0
14,14,Net income from discontinuing ops,1700000.0,54500000.0,4800000.0,90700000.0,-700000.0,-300000.0
15,15,Net income,401300000.0,474600000.0,377800000.0,350000000.0,527800000.0,1261500000.0
16,16,Preferred dividend,0.0,0.0,0.0,-100000.0,0.0,0.0
17,17,Net income available to common shareholders,401300000.0,474600000.0,377800000.0,350100000.0,527800000.0,1261500000.0
18,18,Earnings per share,,,,,,
19,19,Basic,1.38,1.64,1.37,1.3,1.25,2.59
20,20,Diluted,1.37,1.63,1.35,1.29,1.25,2.59
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,291200000.0,288600000.0,276100000.0,269300000.0,421300000.0,487300000.0
23,23,Diluted,293600000.0,291800000.0,278900000.0,271500000.0,423100000.0,488950000.0
24,24,EBITDA,810000000.0,761400000.0,682500000.0,597200000.0,1537300000.0,2021400000.0
