,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,9781000000.0,9968000000.0,10886000000.0,10415000000.0,9061000000.0,9078000000.0
1,1,Cost of revenue,3719000000.0,3536000000.0,3886000000.0,3261000000.0,3001000000.0,2775000000.0
2,2,Gross profit,6062000000.0,6432000000.0,7000000000.0,7154000000.0,6060000000.0,6303000000.0
3,3,Operating expenses,3784000000.0,4133000000.0,4377000000.0,4192000000.0,4484000000.0,5411000000.0
4,3,Operation and maintenance,2632000000.0,2887000000.0,3150000000.0,2978000000.0,3008000000.0,2893000000.0
5,3,Depreciation and amortization,1054000000.0,1178000000.0,1227000000.0,1214000000.0,1476000000.0,2518000000.0
6,3,Other operating expenses,98000000.0,68000000.0,0.0,0.0,0.0,0.0
7,3,Total operating expenses,3784000000.0,4133000000.0,4377000000.0,4192000000.0,4484000000.0,5411000000.0
8,8,Operating income,2278000000.0,2299000000.0,2623000000.0,2962000000.0,1576000000.0,892000000.0
9,9,Interest Expense,423000000.0,402000000.0,389000000.0,393000000.0,385000000.0,386000000.0
10,10,Other income (expense),156000000.0,158000000.0,222000000.0,111000000.0,107000000.0,203000000.0
11,11,Income before income taxes,2011000000.0,2055000000.0,2456000000.0,2680000000.0,1298000000.0,709000000.0
12,12,Provision for income taxes,736000000.0,812000000.0,938000000.0,1001000000.0,411000000.0,189000000.0
13,13,Net income from continuing operations,1275000000.0,1243000000.0,1518000000.0,1679000000.0,887000000.0,520000000.0
14,14,Net income,1275000000.0,1243000000.0,1518000000.0,1679000000.0,887000000.0,520000000.0
15,15,Net income available to common shareholders,1275000000.0,1243000000.0,1518000000.0,1679000000.0,887000000.0,520000000.0
16,16,Earnings per share,,,,,,
17,17,Basic,2.52,2.46,3.0,3.32,1.76,1.03
18,18,Diluted,2.51,2.45,2.99,3.3,1.75,1.03
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,505933000.0,505889000.0,506000000.0,505000000.0,505000000.0,505000000.0
21,21,Diluted,507086000.0,507525000.0,508000000.0,508000000.0,508000000.0,507250000.0
22,22,EBITDA,3488000000.0,3635000000.0,4072000000.0,4287000000.0,3159000000.0,3613000000.0
