,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,14219400000.0,14584500000.0,15317800000.0,15134400000.0,15416900000.0,15338900000.0
1,1,Cost of revenue,10380700000.0,10724400000.0,11350000000.0,11361900000.0,12671200000.0,12563000000.0
2,2,Gross profit,3838700000.0,3860100000.0,3967800000.0,3772500000.0,2745700000.0,2775900000.0
3,3,Operating expenses,2034500000.0,2034800000.0,2023700000.0,1852400000.0,736800000.0,734400000.0
4,3,"Sales, General and administrative",2034500000.0,1993400000.0,2023700000.0,1852400000.0,443900000.0,449400000.0
5,3,Other operating expenses,0.0,41400000.0,0.0,0.0,292900000.0,285000000.0
6,3,Total operating expenses,2034500000.0,2034800000.0,2023700000.0,1852400000.0,736800000.0,734400000.0
7,7,Operating income,1804200000.0,1825300000.0,1944100000.0,1920100000.0,2008900000.0,2041500000.0
8,8,Interest Expense,179700000.0,197200000.0,177200000.0,181100000.0,199200000.0,210800000.0
9,9,Other income (expense),35100000.0,32800000.0,43100000.0,39600000.0,32100000.0,39500000.0
10,10,Income before taxes,1659600000.0,1660900000.0,1810000000.0,1778600000.0,1841800000.0,1870200000.0
11,11,Provision for income taxes,527100000.0,565200000.0,593100000.0,583600000.0,600500000.0,589500000.0
12,12,Other income,-15000000.0,15900000.0,16200000.0,8400000.0,5400000.0,4100000.0
13,13,Net income from continuing operations,1117500000.0,1111600000.0,1233100000.0,1203400000.0,1246700000.0,1284800000.0
14,14,Other,-119200000.0,-120500000.0,-129100000.0,-109500000.0,-98100000.0,-100500000.0
15,15,Net income,998300000.0,991100000.0,1104000000.0,1093900000.0,1148600000.0,1184300000.0
16,16,Preferred dividend,0.0,0.0,20400000.0,12400000.0,6500000.0,6500000.0
17,17,Net income available to common shareholders,998300000.0,991100000.0,1083600000.0,1081500000.0,1142100000.0,1177800000.0
18,18,Earnings per share,,,,,,
19,19,Basic,3.64,3.73,4.27,4.43,4.8,5.05
20,20,Diluted,3.61,3.71,4.24,4.41,4.78,5.02
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,268300000.0,258900000.0,253900000.0,244200000.0,237900000.0,233550000.0
23,23,Diluted,270000000.0,260400000.0,255300000.0,245200000.0,239200000.0,235300000.0
24,24,EBITDA,2122000000.0,2142900000.0,2281600000.0,2250800000.0,2333900000.0,2366000000.0
