,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,1843641000.0,1904218000.0,1989344000.0,2042332000.0,2167423000.0,2250590000.0
1,1,Cost of revenue,737614000.0,783456000.0,824913000.0,842672000.0,891453000.0,928193000.0
2,2,Gross profit,1106027000.0,1120762000.0,1164431000.0,1199660000.0,1275970000.0,1322397000.0
3,3,Operating expenses,594537000.0,603419000.0,646523000.0,632209000.0,651631000.0,682374000.0
4,3,Research and development,96004000.0,100536000.0,107726000.0,118545000.0,125187000.0,130224000.0
5,3,"Sales, General and administrative",477270000.0,492965000.0,512707000.0,495747000.0,513031000.0,526146000.0
6,3,Other operating expenses,21263000.0,9918000.0,26090000.0,17917000.0,13413000.0,26004000.0
7,3,Total operating expenses,594537000.0,603419000.0,646523000.0,632209000.0,651631000.0,682374000.0
8,8,Operating income,511490000.0,517343000.0,517908000.0,567451000.0,624339000.0,640023000.0
9,9,Interest Expense,28073000.0,30050000.0,34191000.0,36243000.0,44911000.0,53660000.0
10,10,Other income (expense),4208000.0,2812000.0,7023000.0,10711000.0,20686000.0,31575000.0
11,11,Income before taxes,487625000.0,490105000.0,490740000.0,541919000.0,600114000.0,617938000.0
12,12,Provision for income taxes,26182000.0,40102000.0,59120000.0,72866000.0,78611000.0,70077000.0
13,13,Net income from continuing operations,461443000.0,450003000.0,431620000.0,469053000.0,521503000.0,547861000.0
14,14,Net income,461443000.0,450003000.0,431620000.0,469053000.0,521503000.0,547861000.0
15,15,Net income available to common shareholders,461443000.0,450003000.0,431620000.0,469053000.0,521503000.0,547861000.0
16,16,Earnings per share,,,,,,
17,17,Basic,5.25,5.27,5.12,5.7,6.46,6.84
18,18,Diluted,5.19,5.2,5.07,5.65,6.41,6.78
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,87841000.0,85426000.0,84358000.0,82336000.0,80786000.0,80024750.0
21,21,Diluted,88979000.0,86546000.0,85151000.0,83087000.0,81417000.0,80732250.0
22,22,EBITDA,584529000.0,599850000.0,619162000.0,668149000.0,741474000.0,773932000.0
