,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,12188000000.0,12354000000.0,12919000000.0,12554000000.0,12075000000.0,12282000000.0
1,1,Cost of revenue,3887000000.0,4054000000.0,4513000000.0,3716000000.0,3088000000.0,3173000000.0
2,2,Gross profit,8301000000.0,8300000000.0,8406000000.0,8838000000.0,8987000000.0,9109000000.0
3,3,Operating expenses,5962000000.0,6056000000.0,6197000000.0,6411000000.0,6412000000.0,6442000000.0
4,3,Operation and maintenance,3182000000.0,3137000000.0,3294000000.0,3344000000.0,3269000000.0,3156000000.0
5,3,Depreciation and amortization,955000000.0,1024000000.0,1071000000.0,1130000000.0,1216000000.0,1282000000.0
6,3,Other operating expenses,1825000000.0,1895000000.0,1832000000.0,1937000000.0,1927000000.0,2004000000.0
7,3,Total operating expenses,5962000000.0,6056000000.0,6197000000.0,6411000000.0,6412000000.0,6442000000.0
8,8,Operating income,2339000000.0,2244000000.0,2209000000.0,2427000000.0,2575000000.0,2667000000.0
9,9,Interest Expense,604000000.0,719000000.0,592000000.0,656000000.0,702000000.0,715000000.0
10,10,Other income (expense),6000000.0,13000000.0,43000000.0,27000000.0,70000000.0,75000000.0
11,11,Income before income taxes,1741000000.0,1538000000.0,1660000000.0,1798000000.0,1943000000.0,2027000000.0
12,12,Provision for income taxes,600000000.0,476000000.0,568000000.0,605000000.0,698000000.0,758000000.0
13,13,Net income from continuing operations,1141000000.0,1062000000.0,1092000000.0,1193000000.0,1245000000.0,1269000000.0
14,14,Net income,1141000000.0,1062000000.0,1092000000.0,1193000000.0,1245000000.0,1269000000.0
15,15,Preferred dividend,3000000.0,0.0,0.0,0.0,0.0,0.0
16,16,Net income available to common shareholders,1138000000.0,1062000000.0,1092000000.0,1193000000.0,1245000000.0,1269000000.0
17,17,Earnings per share,,,,,,
18,18,Basic,3.88,3.62,3.73,4.07,4.15,4.01
19,19,Diluted,3.86,3.61,3.71,4.05,4.12,3.97
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,292900000.0,292900000.0,292900000.0,293000000.0,300400000.0,305725000.0
22,22,Diluted,294500000.0,294400000.0,294000000.0,294400000.0,301900000.0,307300000.0
23,23,EBITDA,3300000000.0,3281000000.0,3323000000.0,3584000000.0,3861000000.0,4051000000.0
