,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,81698000000.0,86623000000.0,90762000000.0,96114000000.0,94571000000.0,91310000000.0
1,1,Cost of revenue,68644000000.0,73268000000.0,76752000000.0,82088000000.0,80790000000.0,75103000000.0
2,2,Gross profit,13054000000.0,13355000000.0,14010000000.0,14026000000.0,13781000000.0,16207000000.0
3,3,Operating expenses,6743000000.0,6793000000.0,6537000000.0,6583000000.0,7947000000.0,6776000000.0
4,3,Research and development,3298000000.0,3071000000.0,3047000000.0,3331000000.0,4627000000.0,3144000000.0
5,3,"Sales, General and administrative",3717000000.0,3956000000.0,3767000000.0,3525000000.0,3616000000.0,3887000000.0
6,3,Other operating expenses,-272000000.0,-234000000.0,-277000000.0,-273000000.0,-296000000.0,-255000000.0
7,3,Total operating expenses,6743000000.0,6793000000.0,6537000000.0,6583000000.0,7947000000.0,6776000000.0
8,8,Operating income,6311000000.0,6562000000.0,7473000000.0,7443000000.0,5834000000.0,9431000000.0
9,9,Interest Expense,463000000.0,386000000.0,333000000.0,275000000.0,306000000.0,346000000.0
10,10,Other income (expense),62000000.0,56000000.0,-3000000.0,-13000000.0,40000000.0,93000000.0
11,11,Income before taxes,5910000000.0,6232000000.0,7137000000.0,7155000000.0,5568000000.0,9178000000.0
12,12,Provision for income taxes,2007000000.0,1646000000.0,1691000000.0,1979000000.0,673000000.0,2482000000.0
13,13,Net income from continuing operations,3903000000.0,4586000000.0,5446000000.0,5176000000.0,4895000000.0,6696000000.0
14,14,Net income from discontinuing ops,-3000000.0,-1000000.0,,,,
15,15,Net income,3900000000.0,4585000000.0,5446000000.0,5176000000.0,4895000000.0,6696000000.0
16,16,Preferred dividend,0.0,0.0,6000000.0,4000000.0,3000000.0,4000000.0
17,17,Net income available to common shareholders,3900000000.0,4585000000.0,5440000000.0,5172000000.0,4892000000.0,6692000000.0
18,18,Earnings per share,,,,,,
19,19,Basic,5.15,6.03,7.47,7.52,7.7,10.98
20,20,Diluted,5.11,5.96,7.38,7.44,7.61,10.84
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,755700000.0,758900000.0,727600000.0,686900000.0,635500000.0,608950000.0
23,23,Diluted,761500000.0,767600000.0,736700000.0,695000000.0,642800000.0,616475000.0
24,24,EBITDA,8184000000.0,8462000000.0,9376000000.0,9263000000.0,7784000000.0,11557000000.0
