,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,7486000000.0,6860000000.0,7637000000.0,7360000000.0,7499000000.0,8001000000.0
1,1,Cost of revenue,4523000000.0,4124000000.0,4508000000.0,3434000000.0,3305000000.0,3723000000.0
2,2,Gross profit,2963000000.0,2736000000.0,3129000000.0,3926000000.0,4194000000.0,4278000000.0
3,3,Operating expenses,1351000000.0,1361000000.0,1560000000.0,3700000000.0,3494000000.0,2606000000.0
4,3,Depreciation and amortization,756000000.0,815000000.0,1176000000.0,1738000000.0,1763000000.0,1745000000.0
5,3,Other operating expenses,595000000.0,546000000.0,384000000.0,1962000000.0,1731000000.0,861000000.0
6,3,Total operating expenses,1351000000.0,1361000000.0,1560000000.0,3700000000.0,3494000000.0,2606000000.0
7,7,Operating income,1612000000.0,1375000000.0,1569000000.0,226000000.0,700000000.0,1672000000.0
8,8,Interest Expense,568000000.0,510000000.0,747000000.0,1044000000.0,1179000000.0,1111000000.0
9,9,Other income (expense),245000000.0,215000000.0,2762000000.0,-895000000.0,104000000.0,538000000.0
10,10,Income before income taxes,1289000000.0,1080000000.0,3584000000.0,-1713000000.0,-375000000.0,1099000000.0
11,11,Provision for income taxes,360000000.0,401000000.0,1249000000.0,-399000000.0,-25000000.0,175000000.0
12,12,Net income from continuing operations,929000000.0,679000000.0,2335000000.0,-1314000000.0,-350000000.0,924000000.0
13,13,Net income from discontinuing ops,136000000.0,-11000000.0,4000000.0,,0.0,
14,14,Other,-206000000.0,-238000000.0,-225000000.0,743000000.0,-74000000.0,-452000000.0
15,15,Net income,859000000.0,430000000.0,2114000000.0,-571000000.0,-424000000.0,472000000.0
16,16,Net income available to common shareholders,859000000.0,430000000.0,2114000000.0,-571000000.0,-424000000.0,472000000.0
17,17,Earnings per share,,,,,,
18,18,Basic,1.39,0.63,2.94,-0.76,-0.57,0.57
19,19,Diluted,1.37,0.62,2.92,-0.76,-0.57,0.57
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,619792000.0,682948000.0,719325000.0,749271000.0,750673000.0,807182500.0
22,22,Diluted,625486000.0,687185000.0,723641000.0,749271000.0,750673000.0,808851250.0
23,23,EBITDA,2649000000.0,2405000000.0,5507000000.0,1069000000.0,2567000000.0,3955000000.0
