,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,5787980000.0,7348754000.0,7803446000.0,8071563000.0,8959087000.0,9304759000.0
1,1,Cost of revenue,4297922000.0,5427945000.0,5649254000.0,5660877000.0,6146262000.0,6370970000.0
2,2,Gross profit,1490058000.0,1920809000.0,2154192000.0,2410686000.0,2812825000.0,2933789000.0
3,3,Operating expenses,1110550000.0,1373878000.0,1381396000.0,1573120000.0,1532882000.0,1617810000.0
4,3,"Sales, General and administrative",1110550000.0,1373878000.0,1381396000.0,1573120000.0,1532882000.0,1617810000.0
5,3,Total operating expenses,1110550000.0,1373878000.0,1381396000.0,1573120000.0,1532882000.0,1617810000.0
6,6,Operating income,379508000.0,546931000.0,772796000.0,837566000.0,1279943000.0,1315979000.0
7,7,Interest Expense,74713000.0,92246000.0,98207000.0,71086000.0,40547000.0,32339000.0
8,8,Other income (expense),-303000.0,-9114000.0,-10698000.0,-17619000.0,1729000.0,1735000.0
9,9,Income before taxes,304492000.0,445571000.0,663891000.0,748861000.0,1241125000.0,1285375000.0
10,10,Provision for income taxes,53599000.0,78385000.0,131637000.0,131875000.0,307559000.0,317041000.0
11,11,Net income from continuing operations,250893000.0,367186000.0,532254000.0,616986000.0,933566000.0,968334000.0
12,12,Net income from discontinuing ops,,-17895000.0,0.0,,,
13,13,Other,-635000.0,-505000.0,-289000.0,-1684000.0,-3204000.0,-3326000.0
14,14,Net income,250258000.0,348786000.0,531965000.0,615302000.0,930362000.0,965008000.0
15,15,Preferred dividend,0.0,0.0,0.0,0.0,123000.0,123000.0
16,16,Net income available to common shareholders,250258000.0,348786000.0,531965000.0,615302000.0,930239000.0,964885000.0
17,17,Earnings per share,,,,,,
18,18,Basic,3.63,4.86,7.3,8.37,12.55,12.99
19,19,Diluted,3.61,4.82,7.25,8.31,12.48,12.91
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,68988000.0,71773000.0,72837000.0,73516000.0,74104000.0,74288500.0
22,22,Diluted,69306000.0,72362241.0,73363000.0,74043000.0,74568000.0,74777250.0
23,23,EBITDA,659498000.0,846688000.0,1107668000.0,1182594000.0,1691139000.0,1750393000.0
