,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,9534462000.0,10185532000.0,11129533000.0,11339304000.0,11855602000.0,13786815000.0
1,1,Cost of revenue,5328236000.0,5568966000.0,5965049000.0,5780078000.0,5933337000.0,7416249000.0
2,2,Gross profit,4206226000.0,4616566000.0,5164484000.0,5559226000.0,5922265000.0,6370566000.0
3,3,Operating expenses,3259648000.0,3470200000.0,3860448000.0,3913518000.0,4171803000.0,4622651000.0
4,3,"Sales, General and administrative",3259648000.0,3467681000.0,3822966000.0,3913518000.0,4171803000.0,4538341000.0
5,3,Other operating expenses,0.0,2519000.0,37482000.0,0.0,0.0,84310000.0
6,3,Total operating expenses,3259648000.0,3470200000.0,3860448000.0,3913518000.0,4171803000.0,4622651000.0
7,7,Operating income,946578000.0,1146366000.0,1304036000.0,1645708000.0,1750462000.0,1747915000.0
8,8,Interest Expense,42788000.0,62714000.0,64205000.0,61791000.0,154088000.0,217395000.0
9,9,Other income (expense),3519000.0,2306000.0,18395000.0,-34951000.0,-1141000.0,16844000.0
10,10,Income before taxes,907309000.0,1085958000.0,1258226000.0,1548966000.0,1595233000.0,1547364000.0
11,11,Provision for income taxes,276275000.0,333397000.0,392339000.0,495117000.0,462530000.0,427925000.0
12,12,Net income from continuing operations,631034000.0,752561000.0,865887000.0,1053849000.0,1132703000.0,1119439000.0
13,13,Other,0.0,0.0,0.0,0.0,0.0,-41540000.0
14,14,Net income,631034000.0,752561000.0,865887000.0,1053849000.0,1132703000.0,1077899000.0
15,15,Preferred dividend,0.0,0.0,0.0,4462000.0,0.0,0.0
16,16,Net income available to common shareholders,631034000.0,752561000.0,865887000.0,1049387000.0,1132703000.0,1077899000.0
17,17,Earnings per share,,,,,,
18,18,Basic,6.15,7.41,8.95,11.38,12.33,11.63
19,19,Diluted,6.02,7.26,8.78,11.16,11.99,11.37
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,101714901.0,100897512.0,96190101.0,92197207.0,91838603.0,92619198.0
22,22,Diluted,103930429.0,100897512.0,98075435.0,94024092.0,94488086.0,94785445.0
23,23,EBITDA,1129299000.0,1336466000.0,1521376000.0,1809319000.0,1947032000.0,2095621000.0
