,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,5807600000.0,6070700000.0,6413800000.0,6595200000.0,9241000000.0,9240000000.0
1,1,Cost of revenue,3946900000.0,4085600000.0,4332700000.0,4393200000.0,6233000000.0,6230000000.0
2,2,Gross profit,1860700000.0,1985100000.0,2081100000.0,2202000000.0,3008000000.0,3010000000.0
3,3,Operating expenses,781500000.0,920700000.0,810500000.0,1102800000.0,1710000000.0,1570000000.0
4,3,"Sales, General and administrative",781500000.0,920700000.0,810500000.0,1102800000.0,1710000000.0,1570000000.0
5,3,Total operating expenses,781500000.0,920700000.0,810500000.0,1102800000.0,1710000000.0,1570000000.0
6,6,Operating income,1079200000.0,1064400000.0,1270600000.0,1099200000.0,1298000000.0,1440000000.0
7,7,Interest Expense,231300000.0,198600000.0,172800000.0,199100000.0,403000000.0,
8,8,Other income (expense),-16700000.0,-40800000.0,-44400000.0,136800000.0,11000000.0,-490000000.0
9,9,Income before taxes,831200000.0,825000000.0,1053400000.0,1036900000.0,906000000.0,950000000.0
10,10,Provision for income taxes,270900000.0,309200000.0,335100000.0,378800000.0,317000000.0,379000000.0
11,11,Net income from continuing operations,560300000.0,515800000.0,718300000.0,658100000.0,589000000.0,571000000.0
12,12,Net income from discontinuing ops,-79200000.0,1900000.0,-11400000.0,-7300000.0,1000000.0,0.0
13,13,Other,-19900000.0,-24600000.0,-27800000.0,-19300000.0,-22000000.0,-33000000.0
14,14,Net income,461200000.0,493100000.0,679100000.0,631500000.0,568000000.0,538000000.0
15,15,Net income available to common shareholders,461200000.0,493100000.0,679100000.0,631500000.0,568000000.0,538000000.0
16,16,Earnings per share,,,,,,
17,17,Basic,1.58,1.7,2.38,2.22,1.74,1.63
18,18,Diluted,1.55,1.68,2.35,2.19,1.72,1.61
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,291800000.0,289700000.0,284800000.0,285000000.0,326000000.0,329750000.0
21,21,Diluted,297500000.0,294200000.0,288700000.0,288700000.0,330000000.0,334500000.0
22,22,EBITDA,1695300000.0,1638200000.0,1852500000.0,1905500000.0,2483000000.0,2782000000.0
