,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,1529869000.0,1840631000.0,2230794000.0,2184335000.0,2734800000.0,3528800000.0
1,1,Cost of revenue,624514000.0,748184000.0,879051000.0,819173000.0,1037700000.0,1351800000.0
2,2,Gross profit,905355000.0,1092447000.0,1351743000.0,1365162000.0,1697100000.0,2177000000.0
3,3,Operating expenses,698068000.0,894243000.0,1048151000.0,1057319000.0,1436700000.0,1679800000.0
4,3,"Sales, General and administrative",558960000.0,692608000.0,834932000.0,799832000.0,917100000.0,1069700000.0
5,3,"Restructuring, merger and acquisition",20976000.0,13458000.0,9272000.0,39359000.0,22800000.0,-1900000.0
6,3,Other operating expenses,118132000.0,188177000.0,203947000.0,218128000.0,496800000.0,612000000.0
7,3,Total operating expenses,698068000.0,894243000.0,1048151000.0,1057319000.0,1436700000.0,1679800000.0
8,8,Operating income,207287000.0,198204000.0,303592000.0,307843000.0,260400000.0,497200000.0
9,9,Interest Expense,20573000.0,44582000.0,55383000.0,70985000.0,119400000.0,138400000.0
10,10,Other income (expense),999000.0,1271000.0,988000.0,933000.0,1300000.0,2000000.0
11,11,Income before taxes,187713000.0,154893000.0,249197000.0,237791000.0,142300000.0,360800000.0
12,12,Provision for income taxes,29564000.0,23059000.0,54648000.0,48853000.0,-5100000.0,-47100000.0
13,13,Other income,0.0,0.0,0.0,0.0,-4500000.0,-8300000.0
14,14,Net income from continuing operations,158149000.0,131834000.0,194549000.0,188938000.0,142900000.0,399600000.0
15,15,Net income from discontinuing ops,19000.0,-101000.0,0.0,51255000.0,9200000.0,1200000.0
16,16,Other,0.0,0.0,0.0,0.0,700000.0,-300000.0
17,17,Net income,158168000.0,131733000.0,194549000.0,240193000.0,152800000.0,400500000.0
18,18,Net income available to common shareholders,158168000.0,131733000.0,194549000.0,240193000.0,152800000.0,400500000.0
19,19,Earnings per share,,,,,,
20,20,Basic,0.6748,0.5567,0.8013,0.9869,0.49,1.04
21,21,Diluted,0.666367,0.548276,0.79008,0.975651,0.48,1.0
22,22,Weighted average shares outstanding,,,,,,
23,23,Basic,234166544.0,236279164.0,242428525.0,243449270.0,309200000.0,404975000.0
24,24,Diluted,237349701.0,239864217.0,245832192.0,246433257.0,316300000.0,421150000.0
25,25,EBITDA,326529000.0,358212000.0,506725000.0,544277000.0,597400000.0,982800000.0
