,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,11224000000.0,11925000000.0,12273000000.0,10776000000.0,10534000000.0,11128000000.0
1,1,Cost of revenue,6396000000.0,6744000000.0,6962000000.0,5960000000.0,5860000000.0,6273000000.0
2,2,Gross profit,4828000000.0,5181000000.0,5311000000.0,4816000000.0,4674000000.0,4855000000.0
3,3,Operating expenses,2391000000.0,2556000000.0,2703000000.0,2495000000.0,2436000000.0,2444000000.0
4,3,Research and development,98000000.0,98000000.0,96000000.0,93000000.0,92000000.0,92000000.0
5,3,"Sales, General and administrative",1270000000.0,1349000000.0,1308000000.0,1152000000.0,1145000000.0,1100000000.0
6,3,Other operating expenses,1023000000.0,1109000000.0,1299000000.0,1250000000.0,1199000000.0,1252000000.0
7,3,Total operating expenses,2391000000.0,2556000000.0,2703000000.0,2495000000.0,2436000000.0,2444000000.0
8,8,Operating income,2437000000.0,2625000000.0,2608000000.0,2321000000.0,2238000000.0,2411000000.0
9,9,Interest Expense,156000000.0,164000000.0,177000000.0,161000000.0,174000000.0,
10,10,Other income (expense),15000000.0,-14000000.0,-36000000.0,0.0,-16000000.0,-158000000.0
11,11,Income before taxes,2296000000.0,2447000000.0,2395000000.0,2160000000.0,2048000000.0,2253000000.0
12,12,Provision for income taxes,586000000.0,649000000.0,691000000.0,612000000.0,551000000.0,620000000.0
13,13,Other income,34000000.0,38000000.0,42000000.0,43000000.0,41000000.0,45000000.0
14,14,Net income from continuing operations,1744000000.0,1836000000.0,1746000000.0,1591000000.0,1538000000.0,1678000000.0
15,15,Other,-52000000.0,-81000000.0,-52000000.0,-44000000.0,-38000000.0,-58000000.0
16,16,Net income,1692000000.0,1755000000.0,1694000000.0,1547000000.0,1500000000.0,1620000000.0
17,17,Net income available to common shareholders,1692000000.0,1755000000.0,1694000000.0,1547000000.0,1500000000.0,1620000000.0
18,18,Earnings per share,,,,,,
19,19,Basic,5.67,5.94,5.79,5.39,5.25,5.66
20,20,Diluted,5.61,5.87,5.73,5.35,5.21,5.62
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,298316000.0,295523000.0,292494000.0,287005000.0,285677000.0,285946250.0
23,23,Diluted,301845000.0,298965000.0,295608000.0,289055000.0,287757000.0,288354750.0
24,24,EBITDA,3453000000.0,3720000000.0,3742000000.0,3427000000.0,3344000000.0,3557000000.0
