,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,17078000000.0,16054000000.0,13851000000.0,6366000000.0,5354000000.0,6288000000.0
1,1,Cost of revenue,3271000000.0,3353000000.0,2752000000.0,2065000000.0,1694000000.0,1630000000.0
2,2,Gross profit,13807000000.0,12701000000.0,11099000000.0,4301000000.0,3660000000.0,4658000000.0
3,3,Costs and expenses,8930000000.0,8485000000.0,14005000000.0,32527000000.0,5342000000.0,4132000000.0
4,3,"Sales, General and administrative",531000000.0,503000000.0,434000000.0,377000000.0,410000000.0,397000000.0
5,3,Depreciation and amortization,7109000000.0,6700000000.0,10158000000.0,29372000000.0,2618000000.0,2330000000.0
6,3,"Restructuring, merger and acquisition",31000000.0,,,132000000.0,39000000.0,
7,3,Interest expense,175000000.0,197000000.0,136000000.0,259000000.0,416000000.0,409000000.0
8,3,Other operating expenses,1084000000.0,1085000000.0,3277000000.0,2387000000.0,1859000000.0,996000000.0
9,3,Total costs and expenses,8930000000.0,8485000000.0,14005000000.0,32527000000.0,5342000000.0,4132000000.0
10,10,Income before income taxes,4877000000.0,4216000000.0,-2906000000.0,-28226000000.0,-1682000000.0,526000000.0
11,11,Provision for income taxes,2876000000.0,1928000000.0,1637000000.0,-5469000000.0,-442000000.0,-316000000.0
12,12,Net income from continuing operations,2001000000.0,2288000000.0,-4543000000.0,-22757000000.0,-1240000000.0,842000000.0
13,13,Net income from discontinuing ops,,,-517000000.0,-771000000.0,-33000000.0,0.0
14,14,Other,0.0,-56000000.0,-343000000.0,409000000.0,-132000000.0,-176000000.0
15,15,Net income,2001000000.0,2232000000.0,-5403000000.0,-23119000000.0,-1405000000.0,666000000.0
16,16,Preferred dividend,76000000.0,44000000.0,0.0,0.0,0.0,0.0
17,17,Net income available to common shareholders,1925000000.0,2188000000.0,-5403000000.0,-23119000000.0,-1405000000.0,666000000.0
18,18,Earnings per share,,,,,,
19,19,Basic,4.95,5.53,-14.06,-61.2,-3.71,1.74
20,20,Diluted,4.92,5.5,-14.06,-61.2,-3.71,1.73
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,389000000.0,395000000.0,384000000.0,378000000.0,379000000.0,380500000.0
23,23,Diluted,391000000.0,406000000.0,384000000.0,378000000.0,379000000.0,382000000.0
24,24,EBITDA,12161000000.0,11113000000.0,7388000000.0,1405000000.0,1352000000.0,3265000000.0
