,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,1641608000.0,1862011000.0,2469710000.0,2339762000.0,1608348000.0,2627751000.0
1,1,Cost of revenue,476865000.0,354561000.0,443974000.0,585013000.0,627319000.0,793937000.0
2,2,Gross profit,1164743000.0,1507450000.0,2025736000.0,1754749000.0,981029000.0,1833814000.0
3,3,Costs and expenses,863036000.0,986292000.0,1302025000.0,1328188000.0,1375556000.0,1456337000.0
4,3,"Sales, General and administrative",195097000.0,200849000.0,238134000.0,249925000.0,272747000.0,282219000.0
5,3,Depreciation and amortization,499118000.0,653132000.0,679298000.0,819216000.0,927920000.0,964267000.0
6,3,Interest expense,184786000.0,142688000.0,136537000.0,146531000.0,147920000.0,176561000.0
7,3,Other operating expenses,-15965000.0,-10377000.0,248056000.0,112516000.0,26969000.0,33290000.0
8,3,Total costs and expenses,863036000.0,986292000.0,1302025000.0,1328188000.0,1375556000.0,1456337000.0
9,9,Income before income taxes,301707000.0,521158000.0,723711000.0,426561000.0,-394527000.0,377477000.0
10,10,Provision for income taxes,105296000.0,175186000.0,214092000.0,104675000.0,-263464000.0,7455000.0
11,11,Net income from continuing operations,196411000.0,345972000.0,509619000.0,321886000.0,-131063000.0,370022000.0
12,12,Net income from discontinuing ops,,91843000.0,1371000.0,0.0,0.0,
13,13,Other,-13016000.0,-47243000.0,-124025000.0,-236715000.0,-321920000.0,-333522000.0
14,14,Net income,183395000.0,390572000.0,386965000.0,85171000.0,-452983000.0,36500000.0
15,15,Net income available to common shareholders,183395000.0,390572000.0,386965000.0,85171000.0,-452983000.0,36500000.0
16,16,Earnings per share,,,,,,
17,17,Basic,1.23,2.59,2.55,0.56,-2.71,0.19
18,18,Diluted,1.22,2.57,2.54,0.56,-2.71,0.19
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,149619000.0,150574000.0,151553000.0,152398000.0,166978000.0,173106250.0
21,21,Diluted,149619000.0,150574000.0,152513000.0,152939000.0,166978000.0,173259250.0
22,22,EBITDA,985611000.0,1340416000.0,1539546000.0,1392308000.0,681313000.0,1518305000.0
