,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,7346472000.0,8843189000.0,10262681000.0,12416000000.0,13487000000.0,14444000000.0
1,1,Cost of revenue,4278241000.0,5265469000.0,6141118000.0,7440200000.0,8108000000.0,8870000000.0
2,2,Gross profit,3068231000.0,3577720000.0,4121563000.0,4975800000.0,5379000000.0,5574000000.0
3,3,Operating expenses,1706735000.0,1899810000.0,2236685000.0,2833800000.0,3090000000.0,3189000000.0
4,3,"Sales, General and administrative",1557646000.0,1727609000.0,2037021000.0,2508600000.0,2731000000.0,2799000000.0
5,3,Other operating expenses,149089000.0,172201000.0,199664000.0,325200000.0,359000000.0,390000000.0
6,3,Total operating expenses,1706735000.0,1899810000.0,2236685000.0,2833800000.0,3090000000.0,3189000000.0
7,7,Operating income,1361496000.0,1677910000.0,1884878000.0,2142000000.0,2289000000.0,2385000000.0
8,8,Interest Expense,,,2468000.0,17700000.0,19000000.0,22000000.0
9,9,Other income (expense),26100000.0,10007000.0,41621000.0,39300000.0,87000000.0,139000000.0
10,10,Income before taxes,1387596000.0,1687917000.0,1924031000.0,2163600000.0,2357000000.0,2502000000.0
11,11,Provision for income taxes,336333000.0,459339000.0,484764000.0,540000000.0,805000000.0,565000000.0
12,12,Other income,0.0,0.0,0.0,0.0,1000000.0,1000000.0
13,13,Net income from continuing operations,1051263000.0,1228578000.0,1439267000.0,1623600000.0,1553000000.0,1938000000.0
14,14,Net income,1051263000.0,1228578000.0,1439267000.0,1623600000.0,1553000000.0,1938000000.0
15,15,Net income available to common shareholders,1051263000.0,1228578000.0,1439267000.0,1623600000.0,1553000000.0,1938000000.0
16,16,Earnings per share,,,,,,
17,17,Basic,1.745,2.035,2.37,2.67,2.56,3.24
18,18,Diluted,1.72,2.015,2.35,2.65,2.55,3.23
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,602582000.0,604014000.0,608126000.0,609100000.0,607000000.0,597250000.0
21,21,Diluted,611722000.0,609662000.0,612489000.0,613300000.0,610000000.0,599500000.0
22,22,EBITDA,1518084000.0,1857840000.0,2134566000.0,2511300000.0,2755000000.0,2946000000.0
