,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,2364000000.0,2520000000.0,4269000000.0,6824000000.0,13240000000.0,16928000000.0
1,1,Cost of revenue,1222000000.0,1322000000.0,2392000000.0,3271000000.0,7300000000.0,8631000000.0
2,2,Gross profit,1142000000.0,1198000000.0,1877000000.0,3553000000.0,5940000000.0,8297000000.0
3,3,Operating expenses,560000000.0,646000000.0,1439000000.0,1921000000.0,6349000000.0,6288000000.0
4,3,Research and development,335000000.0,398000000.0,695000000.0,1049000000.0,2674000000.0,3270000000.0
5,3,"Sales, General and administrative",199000000.0,222000000.0,407000000.0,486000000.0,806000000.0,829000000.0
6,3,"Restructuring, merger and acquisition",5000000.0,2000000.0,140000000.0,137000000.0,996000000.0,510000000.0
7,3,Other operating expenses,21000000.0,24000000.0,197000000.0,249000000.0,1873000000.0,1679000000.0
8,3,Total operating expenses,560000000.0,646000000.0,1439000000.0,1921000000.0,6349000000.0,6288000000.0
9,9,Operating income,582000000.0,552000000.0,438000000.0,1632000000.0,-409000000.0,2009000000.0
10,10,Interest Expense,1000000.0,2000000.0,110000000.0,191000000.0,585000000.0,441000000.0
11,11,Other income (expense),4000000.0,18000000.0,14000000.0,26000000.0,-113000000.0,-153000000.0
12,12,Income before taxes,585000000.0,568000000.0,342000000.0,1467000000.0,-1107000000.0,1415000000.0
13,13,Provision for income taxes,22000000.0,16000000.0,33000000.0,76000000.0,642000000.0,787000000.0
14,14,Net income from continuing operations,563000000.0,552000000.0,309000000.0,1391000000.0,-1749000000.0,628000000.0
15,15,Net income from discontinuing ops,,,-46000000.0,-27000000.0,-112000000.0,-73000000.0
16,16,Other,0.0,0.0,0.0,0.0,122000000.0,-27000000.0
17,17,Net income,563000000.0,552000000.0,263000000.0,1364000000.0,-1739000000.0,528000000.0
18,18,Net income available to common shareholders,563000000.0,552000000.0,263000000.0,1364000000.0,-1739000000.0,528000000.0
19,19,Earnings per share,,,,,,
20,20,Basic,2.3,2.23,1.05,5.17,-4.75,1.25
21,21,Diluted,2.25,2.19,0.99,4.85,-4.86,1.13
22,22,Weighted average shares outstanding,,,,,,
23,23,Basic,245000000.0,247000000.0,251000000.0,264000000.0,366000000.0,402000000.0
24,24,Diluted,250000000.0,252000000.0,267000000.0,281000000.0,383000000.0,437000000.0
25,25,EBITDA,741000000.0,757000000.0,1077000000.0,2620000000.0,2520000000.0,6074000000.0
