,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,17088000000.0,17699000000.0,18605000000.0,19820000000.0,20425000000.0,20972000000.0
1,1,Cost of revenue,8650000000.0,8307000000.0,7677000000.0,6025000000.0,6132000000.0,6343000000.0
2,2,Gross profit,8438000000.0,9392000000.0,10928000000.0,13795000000.0,14293000000.0,14629000000.0
3,3,Operating expenses,7815000000.0,8114000000.0,8703000000.0,9679000000.0,10533000000.0,11042000000.0
4,3,"Sales, General and administrative",4749000000.0,5035000000.0,5434000000.0,6383000000.0,6798000000.0,7104000000.0
5,3,Depreciation and amortization,844000000.0,867000000.0,938000000.0,1015000000.0,1221000000.0,1257000000.0
6,3,Other operating expenses,2222000000.0,2212000000.0,2331000000.0,2281000000.0,2514000000.0,2681000000.0
7,3,Total operating expenses,7815000000.0,8114000000.0,8703000000.0,9679000000.0,10533000000.0,11042000000.0
8,8,Operating income,623000000.0,1278000000.0,2225000000.0,4116000000.0,3760000000.0,3587000000.0
9,9,Interest Expense,126000000.0,107000000.0,107000000.0,90000000.0,75000000.0,62000000.0
10,10,Other income (expense),188000000.0,38000000.0,-302000000.0,-547000000.0,-138000000.0,-203000000.0
11,11,Income before income taxes,685000000.0,1209000000.0,1816000000.0,3479000000.0,3547000000.0,3322000000.0
12,12,Provision for income taxes,264000000.0,455000000.0,680000000.0,1298000000.0,1303000000.0,1200000000.0
13,13,Net income from continuing ops,421000000.0,754000000.0,1136000000.0,2181000000.0,2244000000.0,2122000000.0
14,14,Net income,421000000.0,754000000.0,1136000000.0,2181000000.0,2244000000.0,2122000000.0
15,15,Net income available to common shareholders,421000000.0,754000000.0,1136000000.0,2181000000.0,2244000000.0,2122000000.0
16,16,Earnings per share,,,,,,
17,17,Basic,0.56,1.06,1.65,3.3,3.58,3.5
18,18,Diluted,0.56,1.05,1.64,3.27,3.55,3.49
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,750000000.0,710000000.0,687000000.0,661000000.0,627000000.0,608250000.0
21,21,Diluted,757000000.0,718000000.0,696000000.0,669000000.0,633000000.0,609000000.0
22,22,EBITDA,1655000000.0,2183000000.0,2861000000.0,4584000000.0,4843000000.0,4641000000.0
