,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,2511850000.0,2527387000.0,2535559000.0,2403906000.0,2346446000.0,2310821000.0
1,1,Expenses,1768791000.0,1695228000.0,1594046000.0,1480013000.0,1546193000.0,1460035000.0
2,1,Operating expenses,742134000.0,690170000.0,798134000.0,602405000.0,677945000.0,585763000.0
3,1,Depreciation and amortization,793877000.0,764830000.0,708406000.0,643689000.0,660746000.0,667352000.0
4,1,"Sales, General and administrative",232780000.0,240228000.0,87506000.0,233919000.0,207502000.0,206920000.0
5,1,Total expenses,1768791000.0,1695228000.0,1594046000.0,1480013000.0,1546193000.0,1460035000.0
6,6,Operating income,743059000.0,832159000.0,941513000.0,923893000.0,800253000.0,850786000.0
7,7,Interest income,2924000.0,7699000.0,28613000.0,49254000.0,59960000.0,67789000.0
8,8,Interest expenses,811094000.0,736560000.0,699285000.0,607675000.0,571200000.0,536374000.0
9,9,Other income (expense),-498694000.0,135447000.0,73145000.0,589383000.0,736991000.0,125035000.0
10,10,Income before income taxes,-563805000.0,238745000.0,343986000.0,954855000.0,1026004000.0,507236000.0
11,11,Provision for income taxes,9091000.0,345000.0,7253000.0,-38334000.0,901000.0,15520000.0
12,12,Other income,78342000.0,68756000.0,61278000.0,400407000.0,283170000.0,214530000.0
13,13,Net income from continuing operations,-494554000.0,307156000.0,398011000.0,1393596000.0,1308273000.0,706246000.0
14,14,Net income from discontinuing ops,23021000.0,10043000.0,281883000.0,,0.0,
15,15,Other,-9700000.0,-14671000.0,-14044000.0,-19035000.0,-19906000.0,-13980000.0
16,16,Net income,-481233000.0,302528000.0,665850000.0,1374561000.0,1288367000.0,692266000.0
17,17,Preferred distributions,,14078000.0,15936000.0,15937000.0,15935000.0,15936000.0
18,18,Net income available to common shareholders,-481233000.0,288450000.0,649914000.0,1358624000.0,1272432000.0,676330000.0
19,19,Earnings per share,,,,,,
20,20,Basic,-0.52,0.31,0.74,1.54,1.44,0.76
21,21,Diluted,-0.52,0.31,0.69,1.43,1.34,0.72
22,22,Weighted average shares outstanding,,,,,,
23,23,Basic,938049000.0,930643000.0,887031000.0,884676000.0,884029000.0,882578500.0
24,24,Diluted,938049000.0,934068000.0,944721000.0,951062000.0,952333000.0,946470250.0
25,25,EBITDA,1167113000.0,1832789000.0,1837950000.0,2268325000.0,2299104000.0,1740540000.0
