,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,12316000000.0,17506000000.0,20951000000.0,12764000000.0,7872000000.0,8998000000.0
1,1,Cost of revenue,7269000000.0,11585000000.0,14107000000.0,10394000000.0,7417000000.0,6946000000.0
2,2,Gross profit,5047000000.0,5921000000.0,6844000000.0,2370000000.0,455000000.0,2052000000.0
3,3,Costs and expenses,6021000000.0,4479000000.0,3644000000.0,21468000000.0,5044000000.0,1962000000.0
4,3,"Sales, General and administrative",535000000.0,457000000.0,322000000.0,235000000.0,240000000.0,180000000.0
5,3,Depreciation and amortization,2811000000.0,2903000000.0,2915000000.0,2229000000.0,1107000000.0,922000000.0
6,3,"Restructuring, merger and acquisition",7000000.0,248000000.0,7000000.0,36000000.0,6000000.0,3000000.0
7,3,Interest expense,77000000.0,227000000.0,89000000.0,317000000.0,418000000.0,510000000.0
8,3,Other operating expenses,2591000000.0,644000000.0,311000000.0,18651000000.0,3273000000.0,347000000.0
9,3,Total costs and expenses,6021000000.0,4479000000.0,3644000000.0,21468000000.0,5044000000.0,1962000000.0
10,10,Income before income taxes,-974000000.0,1442000000.0,3200000000.0,-19098000000.0,-4589000000.0,90000000.0
11,11,Provision for income taxes,-380000000.0,548000000.0,1144000000.0,-4463000000.0,-190000000.0,-188000000.0
12,12,Net income from continuing operations,-594000000.0,894000000.0,2056000000.0,-14635000000.0,-4399000000.0,278000000.0
13,13,Other,-175000000.0,-170000000.0,-139000000.0,-50000000.0,-2000000.0,-4000000.0
14,14,Net income,-769000000.0,724000000.0,1917000000.0,-14685000000.0,-4401000000.0,274000000.0
15,15,Preferred dividend,171000000.0,171000000.0,171000000.0,171000000.0,525000000.0,501000000.0
16,16,Net income available to common shareholders,-940000000.0,553000000.0,1746000000.0,-14856000000.0,-4926000000.0,-227000000.0
17,17,Earnings per share,,,,,,
18,18,Basic,-1.46,0.73,1.93,-22.43,-6.45,-0.09
19,19,Diluted,-1.46,0.73,1.87,-22.43,-6.45,-0.09
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,643000000.0,653000000.0,659000000.0,662000000.0,764000000.0,903500000.0
22,22,Diluted,643000000.0,653000000.0,772000000.0,662000000.0,764000000.0,903500000.0
23,23,EBITDA,1914000000.0,4572000000.0,6204000000.0,-16552000000.0,-3064000000.0,1522000000.0
