,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,24866000000.0,26487000000.0,25281000000.0,23554000000.0,22291000000.0,22291000000.0
1,1,Cost of revenue,9820000000.0,10686000000.0,10378000000.0,9749000000.0,9792000000.0,9792000000.0
2,2,Gross profit,15046000000.0,15801000000.0,14903000000.0,13805000000.0,12499000000.0,12499000000.0
3,3,Operating expenses,7816000000.0,8251000000.0,9127000000.0,7310000000.0,9885000000.0,9885000000.0
4,3,Research and development,4967000000.0,5477000000.0,5490000000.0,5151000000.0,5485000000.0,5485000000.0
5,3,"Sales, General and administrative",2518000000.0,2290000000.0,2344000000.0,2385000000.0,2658000000.0,2658000000.0
6,3,Other operating expenses,331000000.0,484000000.0,1293000000.0,-226000000.0,1742000000.0,1742000000.0
7,3,Total operating expenses,7816000000.0,8251000000.0,9127000000.0,7310000000.0,9885000000.0,9885000000.0
8,8,Operating income,7230000000.0,7550000000.0,5776000000.0,6495000000.0,2614000000.0,2614000000.0
9,9,Interest Expense,23000000.0,,104000000.0,297000000.0,494000000.0,494000000.0
10,10,Other income (expense),987000000.0,1228000000.0,815000000.0,635000000.0,900000000.0,900000000.0
11,11,Income before taxes,8194000000.0,8778000000.0,6487000000.0,6833000000.0,3020000000.0,3020000000.0
12,12,Provision for income taxes,1349000000.0,1244000000.0,1219000000.0,1131000000.0,555000000.0,555000000.0
13,13,Net income from continuing operations,6845000000.0,7534000000.0,5268000000.0,5702000000.0,2465000000.0,2465000000.0
14,14,Net income from discontinuing ops,0.0,430000000.0,0.0,0.0,,
15,15,Other,8000000.0,3000000.0,3000000.0,3000000.0,1000000.0,1000000.0
16,16,Net income,6853000000.0,7967000000.0,5271000000.0,5705000000.0,2466000000.0,2466000000.0
17,17,Net income available to common shareholders,6853000000.0,7967000000.0,5271000000.0,5705000000.0,2466000000.0,2466000000.0
18,18,Earnings per share,,,,,,
19,19,Basic,3.99,4.73,3.26,3.84,1.67,1.67
20,20,Diluted,3.91,4.65,3.22,3.81,1.65,1.65
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,1715000000.0,1683000000.0,1618000000.0,1484000000.0,1477000000.0,1477000000.0
23,23,Diluted,1754000000.0,1714000000.0,1639000000.0,1498000000.0,1490000000.0,1490000000.0
24,24,EBITDA,9234000000.0,8700000000.0,7805000000.0,8558000000.0,4975000000.0,4975000000.0
