,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,14945000000.0,15357000000.0,17020000000.0,16453200000.0,16380100000.0,15404600000.0
1,1,Cost of revenue,5280000000.0,5559000000.0,6358000000.0,6108200000.0,5730300000.0,5381800000.0
2,2,Gross profit,9665000000.0,9798000000.0,10662000000.0,10345000000.0,10649800000.0,10022800000.0
3,3,Operating expenses,7009000000.0,6943000000.0,7430000000.0,7011500000.0,9442700000.0,6618600000.0
4,3,Operation and maintenance,4077000000.0,4083000000.0,4586000000.0,4029200000.0,4194600000.0,3891400000.0
5,3,Depreciation and amortization,1782000000.0,1743000000.0,1929000000.0,2009700000.0,1962300000.0,1898000000.0
6,3,Other operating expenses,1150000000.0,1117000000.0,915000000.0,972600000.0,3285800000.0,829200000.0
7,3,Total operating expenses,7009000000.0,6943000000.0,7430000000.0,7011500000.0,9442700000.0,6618600000.0
8,8,Operating income,2656000000.0,2855000000.0,3232000000.0,3333500000.0,1207100000.0,3404200000.0
9,9,Interest Expense,988000000.0,906000000.0,885000000.0,873900000.0,877200000.0,878000000.0
10,10,Other income (expense),154000000.0,161000000.0,143000000.0,163300000.0,145700000.0,142700000.0
11,11,Income before income taxes,1822000000.0,2110000000.0,2490000000.0,2622900000.0,475600000.0,2668900000.0
12,12,Provision for income taxes,604000000.0,684000000.0,942000000.0,919600000.0,-73700000.0,858100000.0
13,13,Other income,44000000.0,58000000.0,90000000.0,65300000.0,71200000.0,91500000.0
14,14,Net income from continuing operations,1262000000.0,1484000000.0,1638000000.0,1768600000.0,620500000.0,1902300000.0
15,15,Net income from discontinuing ops,,,,283700000.0,-2500000.0,0.0
16,16,Other,-3000000.0,-4000000.0,-4000000.0,-5200000.0,-7100000.0,-17000000.0
17,17,Net income,1259000000.0,1480000000.0,1634000000.0,2047100000.0,610900000.0,1885300000.0
18,18,Net income available to common shareholders,1259000000.0,1480000000.0,1634000000.0,2047100000.0,610900000.0,1885300000.0
19,19,Earnings per share,,,,,,
20,20,Basic,2.6,3.04,3.34,4.17,1.24,3.83
21,21,Diluted,2.6,3.04,3.34,4.17,1.24,3.83
22,22,Weighted average shares outstanding,,,,,,
23,23,Basic,484682469.0,486619555.0,488592997.0,490340522.0,491495458.0,491764500.0
24,24,Diluted,485084694.0,487040956.0,488899840.0,490574568.0,491662007.0,492285801.0
25,25,EBITDA,4728000000.0,4890000000.0,5304000000.0,5506500000.0,3315100000.0,5444900000.0
