,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,10879855000.0,11419648000.0,12282161000.0,12376744000.0,12019003000.0,12186480000.0
1,1,Cost of revenue,5817880000.0,5931469000.0,6288190000.0,6393800000.0,6196335000.0,6192761000.0
2,2,Gross profit,5061975000.0,5488179000.0,5993971000.0,5982944000.0,5822668000.0,5993719000.0
3,3,Operating expenses,3596708000.0,3841032000.0,4556247000.0,4321948000.0,4323442000.0,4665514000.0
4,3,"Sales, General and administrative",3596708000.0,3841032000.0,4159885000.0,4178386000.0,4243798000.0,4481219000.0
5,3,Other operating expenses,0.0,0.0,396362000.0,143562000.0,79644000.0,184295000.0
6,3,Total operating expenses,3596708000.0,3841032000.0,4556247000.0,4321948000.0,4323442000.0,4665514000.0
7,7,Operating income,1465267000.0,1647147000.0,1437724000.0,1660996000.0,1499226000.0,1328205000.0
8,8,Interest Expense,93605000.0,84773000.0,86725000.0,89414000.0,94730000.0,99293000.0
9,9,Other income (expense),50213000.0,116000.0,1367000.0,8807000.0,11095000.0,12560000.0
10,10,Income before taxes,1421875000.0,1562490000.0,1352366000.0,1580389000.0,1415591000.0,1241472000.0
11,11,Provision for income taxes,335737000.0,352371000.0,304861000.0,348796000.0,243064000.0,216289000.0
12,12,Net income from continuing operations,1086138000.0,1210119000.0,1047505000.0,1231593000.0,1172527000.0,1025183000.0
13,13,Net income from discontinuing ops,,,,,-98421000.0,-55658000.0
14,14,Other,-139000.0,0.0,0.0,0.0,0.0,0.0
15,15,Net income,1085999000.0,1210119000.0,1047505000.0,1231593000.0,1074106000.0,969525000.0
16,16,Net income available to common shareholders,1085999000.0,1210119000.0,1047505000.0,1231593000.0,1074106000.0,969525000.0
17,17,Earnings per share,,,,,,
18,18,Basic,2.4725,2.76,2.42,2.9,2.58,2.4
19,19,Diluted,2.425,2.71,2.38,2.85,2.54,2.37
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,439292000.0,438657000.0,432611000.0,425408000.0,416103000.0,403881000.0
22,22,Diluted,447616000.0,446809000.0,440153000.0,432079000.0,422081000.0,407937500.0
23,23,EBITDA,1753436000.0,1900536000.0,1713974000.0,1941878000.0,1791898000.0,1624441000.0
