,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,54127000000.0,55438000000.0,58232000000.0,58363000000.0,60906000000.0,63974000000.0
1,1,Cost of revenue,13574000000.0,13703000000.0,14758000000.0,12947000000.0,13822000000.0,15483000000.0
2,2,Gross profit,40553000000.0,41735000000.0,43474000000.0,45416000000.0,47084000000.0,48491000000.0
3,3,Operating expenses,39210000000.0,34701000000.0,38506000000.0,37748000000.0,41617000000.0,42884000000.0
4,3,"Sales, General and administrative",33102000000.0,28557000000.0,32045000000.0,31028000000.0,34770000000.0,35779000000.0
5,3,Depreciation and amortization,1858000000.0,1867000000.0,1923000000.0,2084000000.0,2224000000.0,2251000000.0
6,3,Other operating expenses,4250000000.0,4277000000.0,4538000000.0,4636000000.0,4623000000.0,4854000000.0
7,3,Total operating expenses,39210000000.0,34701000000.0,38506000000.0,37748000000.0,41617000000.0,42884000000.0
8,8,Operating income,1343000000.0,7034000000.0,4968000000.0,7668000000.0,5467000000.0,5607000000.0
9,9,Interest Expense,393000000.0,380000000.0,353000000.0,341000000.0,381000000.0,424000000.0
10,10,Other income (expense),24000000.0,20000000.0,22000000.0,15000000.0,50000000.0,61000000.0
11,11,Income before income taxes,974000000.0,6674000000.0,4637000000.0,7342000000.0,5136000000.0,5244000000.0
12,12,Provision for income taxes,167000000.0,2302000000.0,1605000000.0,2498000000.0,1705000000.0,1677000000.0
13,13,Net income from continuing ops,807000000.0,4372000000.0,3032000000.0,4844000000.0,3431000000.0,3567000000.0
14,14,Net income,807000000.0,4372000000.0,3032000000.0,4844000000.0,3431000000.0,3567000000.0
15,15,Net income available to common shareholders,807000000.0,4372000000.0,3032000000.0,4844000000.0,3431000000.0,3567000000.0
16,16,Earnings per share,,,,,,
17,17,Basic,0.84,4.65,3.31,5.38,3.89,4.1
18,18,Diluted,0.83,4.61,3.28,5.35,3.87,4.08
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,960000000.0,940000000.0,916000000.0,901000000.0,883000000.0,873250000.0
21,21,Diluted,969000000.0,948000000.0,924000000.0,906000000.0,887000000.0,877250000.0
22,22,EBITDA,3225000000.0,8921000000.0,6913000000.0,9767000000.0,7741000000.0,7919000000.0
