,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,48607000000.0,47142000000.0,49161000000.0,49247000000.0,48005000000.0,47789000000.0
1,1,Cost of revenue,19167000000.0,19373000000.0,19480000000.0,18287000000.0,17781000000.0,18022000000.0
2,2,Gross profit,29440000000.0,27769000000.0,29681000000.0,30960000000.0,30224000000.0,29767000000.0
3,3,Operating expenses,18244000000.0,18424000000.0,18911000000.0,18300000000.0,18251000000.0,17915000000.0
4,3,Research and development,5942000000.0,6294000000.0,6207000000.0,6296000000.0,6059000000.0,6081000000.0
5,3,"Sales, General and administrative",11802000000.0,11437000000.0,11861000000.0,11433000000.0,11177000000.0,11095000000.0
6,3,"Restructuring, merger and acquisition",105000000.0,418000000.0,484000000.0,268000000.0,756000000.0,497000000.0
7,3,Other operating expenses,395000000.0,275000000.0,359000000.0,303000000.0,259000000.0,242000000.0
8,3,Total operating expenses,18244000000.0,18424000000.0,18911000000.0,18300000000.0,18251000000.0,17915000000.0
9,9,Operating income,11196000000.0,9345000000.0,10770000000.0,12660000000.0,11973000000.0,11852000000.0
10,10,Interest Expense,583000000.0,564000000.0,566000000.0,676000000.0,861000000.0,898000000.0
11,11,Other income (expense),614000000.0,934000000.0,997000000.0,936000000.0,1175000000.0,1342000000.0
12,12,Income before taxes,11227000000.0,9715000000.0,11201000000.0,12920000000.0,12287000000.0,12296000000.0
13,13,Provision for income taxes,1244000000.0,1862000000.0,2220000000.0,2181000000.0,2678000000.0,2615000000.0
14,14,Net income from continuing operations,9983000000.0,7853000000.0,8981000000.0,10739000000.0,9609000000.0,9681000000.0
15,15,Net income,9983000000.0,7853000000.0,8981000000.0,10739000000.0,9609000000.0,9681000000.0
16,16,Net income available to common shareholders,9983000000.0,7853000000.0,8981000000.0,10739000000.0,9609000000.0,9681000000.0
17,17,Earnings per share,,,,,,
18,18,Basic,1.87,1.5,1.76,2.13,1.92,1.94
19,19,Diluted,1.86,1.49,1.75,2.11,1.9,1.92
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,5329000000.0,5234000000.0,5104000000.0,5053000000.0,5010000000.0,4993000000.0
22,22,Diluted,5380000000.0,5281000000.0,5146000000.0,5088000000.0,5049000000.0,5031000000.0
23,23,EBITDA,14161000000.0,12711000000.0,14209000000.0,15746000000.0,15434000000.0,15447000000.0
