,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,127434000000.0,128752000000.0,132447000000.0,146801000000.0,163786000000.0,160711000000.0
1,1,Cost of revenue,55215000000.0,51464000000.0,60611000000.0,67046000000.0,76884000000.0,76166000000.0
2,2,Gross profit,72219000000.0,77288000000.0,71836000000.0,79755000000.0,86902000000.0,84545000000.0
3,3,Operating expenses,59222000000.0,46809000000.0,60090000000.0,54970000000.0,62555000000.0,59707000000.0
4,3,"Sales, General and administrative",41079000000.0,28414000000.0,41817000000.0,32954000000.0,36347000000.0,34901000000.0
5,3,Other operating expenses,18143000000.0,18395000000.0,18273000000.0,22016000000.0,26208000000.0,24806000000.0
6,3,Total operating expenses,59222000000.0,46809000000.0,60090000000.0,54970000000.0,62555000000.0,59707000000.0
7,7,Operating income,12997000000.0,30479000000.0,11746000000.0,24785000000.0,24347000000.0,24838000000.0
8,8,Interest Expense,3444000000.0,3940000000.0,3613000000.0,4120000000.0,4910000000.0,5595000000.0
9,9,Other income (expense),886000000.0,1238000000.0,1827000000.0,27000000.0,375000000.0,370000000.0
10,10,Income before taxes,10439000000.0,27777000000.0,9960000000.0,20692000000.0,19812000000.0,19613000000.0
11,11,Provision for income taxes,2900000000.0,9224000000.0,3442000000.0,7005000000.0,6479000000.0,6387000000.0
12,12,Net income from continuing operations,7539000000.0,18553000000.0,6518000000.0,13687000000.0,13333000000.0,13226000000.0
13,13,Other,-275000000.0,-304000000.0,-294000000.0,-342000000.0,-357000000.0,-376000000.0
14,14,Net income,7264000000.0,18249000000.0,6224000000.0,13345000000.0,12976000000.0,12850000000.0
15,15,Net income available to common shareholders,7264000000.0,18249000000.0,6224000000.0,13345000000.0,12976000000.0,12850000000.0
16,16,Earnings per share,,,,,,
17,17,Basic,1.25,3.39,1.19,2.37,2.1,2.09
18,18,Diluted,1.25,3.39,1.19,2.37,2.1,2.09
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,5801000000.0,5368000000.0,5205000000.0,5628000000.0,6168000000.0,6162750000.0
21,21,Diluted,5821000000.0,5385000000.0,5221000000.0,5646000000.0,6189000000.0,6183750000.0
22,22,EBITDA,32026000000.0,50112000000.0,31846000000.0,46828000000.0,50569000000.0,49653000000.0
