,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,15303000000.0,14917000000.0,15049000000.0,15026000000.0,14562000000.0,13950000000.0
1,1,Cost of revenue,6708000000.0,6459000000.0,6996000000.0,6173000000.0,5479000000.0,4751000000.0
2,2,Gross profit,8595000000.0,8458000000.0,8053000000.0,8853000000.0,9083000000.0,9199000000.0
3,3,Operating expenses,6419000000.0,6851000000.0,6991000000.0,6561000000.0,17345000000.0,16121000000.0
4,3,Depreciation and amortization,1124000000.0,1202000000.0,1220000000.0,1282000000.0,1313000000.0,1184000000.0
5,3,Other operating expenses,5295000000.0,5649000000.0,5771000000.0,5279000000.0,16032000000.0,14937000000.0
6,3,Total operating expenses,6419000000.0,6851000000.0,6991000000.0,6561000000.0,17345000000.0,16121000000.0
7,7,Operating income,2176000000.0,1607000000.0,1062000000.0,2292000000.0,-8262000000.0,-6922000000.0
8,8,Interest Expense,929000000.0,941000000.0,955000000.0,1015000000.0,1054000000.0,1093000000.0
9,9,Other income (expense),77000000.0,-96000000.0,64000000.0,-384000000.0,84000000.0,87000000.0
10,10,Income before income taxes,1324000000.0,570000000.0,171000000.0,893000000.0,-9232000000.0,-7928000000.0
11,11,Provision for income taxes,553000000.0,195000000.0,-42000000.0,315000000.0,-3055000000.0,-2907000000.0
12,12,Net income from continuing operations,771000000.0,375000000.0,213000000.0,578000000.0,-6177000000.0,-5021000000.0
13,13,Net income from discontinuing ops,,17000000.0,86000000.0,0.0,0.0,
14,14,Other,-1000000.0,0.0,0.0,0.0,0.0,0.0
15,15,Net income,770000000.0,392000000.0,299000000.0,578000000.0,-6177000000.0,-5021000000.0
16,16,Net income available to common shareholders,770000000.0,392000000.0,299000000.0,578000000.0,-6177000000.0,-5021000000.0
17,17,Earnings per share,,,,,,
18,18,Basic,1.85,0.94,0.71,1.37,-14.49,-11.84
19,19,Diluted,1.84,0.94,0.71,1.37,-14.49,-11.85
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,418000000.0,418000000.0,420000000.0,422000000.0,426000000.0,440250000.0
22,22,Diluted,419000000.0,419000000.0,421000000.0,424000000.0,426000000.0,441000000.0
23,23,EBITDA,3377000000.0,2713000000.0,2626000000.0,3744000000.0,-6181000000.0,-5067000000.0
