,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,6273787000.0,7301204000.0,7741856000.0,7954827000.0,7639129000.0,7633062000.0
1,1,Cost of revenue,2397513000.0,2482954000.0,3021550000.0,3086905000.0,2500828000.0,2454028000.0
2,2,Gross profit,3876274000.0,4818250000.0,4720306000.0,4867922000.0,5138301000.0,5179034000.0
3,3,Operating expenses,2758068000.0,3288815000.0,3087457000.0,3103758000.0,3278442000.0,3273692000.0
4,3,Operation and maintenance,1583070000.0,1514986000.0,1427589000.0,1329289000.0,1323549000.0,1291365000.0
5,3,Depreciation and amortization,519010000.0,610777000.0,614657000.0,665856000.0,715466000.0,754837000.0
6,3,Other operating expenses,655988000.0,1163052000.0,1045211000.0,1108613000.0,1239427000.0,1227490000.0
7,3,Total operating expenses,2758068000.0,3288815000.0,3087457000.0,3103758000.0,3278442000.0,3273692000.0
8,8,Operating income,1118206000.0,1529435000.0,1632849000.0,1764164000.0,1859859000.0,1905342000.0
9,9,Interest Expense,329945000.0,338699000.0,362106000.0,372420000.0,400961000.0,421870000.0
10,10,Other income (expense),19742000.0,29894000.0,24619000.0,34227000.0,45920000.0,78535000.0
11,11,Income before income taxes,808003000.0,1220630000.0,1295362000.0,1425971000.0,1504818000.0,1562007000.0
12,12,Provision for income taxes,274926000.0,426941000.0,468297000.0,539967000.0,554997000.0,574732000.0
13,13,Net income from continuing operations,533077000.0,793689000.0,827065000.0,886004000.0,949821000.0,987275000.0
14,14,Other,-7132000.0,-7682000.0,-7519000.0,-7519000.0,-7519000.0,-7519000.0
15,15,Net income,525945000.0,786007000.0,819546000.0,878485000.0,942302000.0,979756000.0
16,16,Net income available to common shareholders,525945000.0,786007000.0,819546000.0,878485000.0,942302000.0,979756000.0
17,17,Earnings per share,,,,,,
18,18,Basic,1.9,2.49,2.59,2.77,2.97,3.09
19,19,Diluted,1.89,2.49,2.58,2.76,2.96,3.08
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,277209819.0,315311387.0,316136748.0,317336881.0,317650180.0,317439449.0
22,22,Diluted,277993631.0,316211160.0,317417414.0,318432687.0,318454239.0,318075814.0
23,23,EBITDA,1656958000.0,2376428000.0,2272125000.0,2464247000.0,2621245000.0,2738714000.0
