,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,4104706000.0,5935095000.0,7779812000.0,9474008000.0,10949999000.0,12237422000.0
1,1,Cost of revenue,3655192000.0,5103199000.0,6680613000.0,8171748000.0,9455074000.0,10635739000.0
2,2,Gross profit,449514000.0,831896000.0,1099199000.0,1302260000.0,1494925000.0,1601683000.0
3,3,Operating expenses,127338000.0,146060000.0,177161000.0,216244000.0,232562000.0,268261000.0
4,3,"Sales, General and administrative",127338000.0,146060000.0,177161000.0,216244000.0,232562000.0,268261000.0
5,3,Total operating expenses,127338000.0,146060000.0,177161000.0,216244000.0,232562000.0,268261000.0
6,6,Operating income,322176000.0,685836000.0,922038000.0,1086016000.0,1262363000.0,1333422000.0
7,7,Interest Expense,94353000.0,93913000.0,36551000.0,12454000.0,4626000.0,
8,8,Other income (expense),-5709000.0,90018000.0,84297000.0,136054000.0,72732000.0,-144415000.0
9,9,Income before taxes,222114000.0,681941000.0,969784000.0,1209616000.0,1330469000.0,1189007000.0
10,10,Provision for income taxes,-435218000.0,177015000.0,341091000.0,390416000.0,417378000.0,404565000.0
11,11,Net income from continuing operations,657332000.0,504926000.0,628693000.0,819200000.0,913091000.0,784442000.0
12,12,Other,21792000.0,-25252000.0,10223000.0,-16306000.0,-1247000.0,29901000.0
13,13,Net income,679124000.0,479674000.0,638916000.0,802894000.0,911844000.0,814343000.0
14,14,Preferred dividend,0.0,0.0,7793000.0,8732000.0,9189000.0,8025000.0
15,15,Net income available to common shareholders,679124000.0,479674000.0,631123000.0,794162000.0,902655000.0,806318000.0
16,16,Earnings per share,,,,,,
17,17,Basic,3.5098,2.4314,3.0588,3.7941,4.049,3.451
18,18,Diluted,3.04902,2.107843,2.745098,3.392157,3.852941,3.401961
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,190395240.0,194282460.0,206253180.0,209292780.0,222789420.0,235447875.0
21,21,Diluted,223068900.0,230438400.0,232804800.0,235428240.0,235326240.0,236967930.0
22,22,EBITDA,344548000.0,806203000.0,1044877000.0,1265736000.0,1385314000.0,1467495000.0
