,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,3637212000.0,4063715000.0,4375020000.0,5386703000.0,5593127000.0,5532302000.0
1,1,Cost of revenue,2446443000.0,2865437000.0,3136814000.0,4063955000.0,4291730000.0,4252252000.0
2,2,Gross profit,1190769000.0,1198278000.0,1238206000.0,1322748000.0,1301397000.0,1280050000.0
3,3,Operating expenses,836314000.0,852522000.0,864779000.0,975035000.0,1013469000.0,1008749000.0
4,3,"Sales, General and administrative",,852522000.0,,975035000.0,1013469000.0,1008749000.0
5,3,Other operating expenses,836314000.0,0.0,864779000.0,0.0,0.0,0.0
6,3,Total operating expenses,836314000.0,852522000.0,864779000.0,975035000.0,1013469000.0,1008749000.0
7,7,Operating income,354455000.0,345756000.0,373427000.0,347713000.0,287928000.0,271301000.0
8,8,Interest Expense,36397000.0,35713000.0,33693000.0,50065000.0,43060000.0,45472000.0
9,9,Other income (expense),3059000.0,2869000.0,2937000.0,4045000.0,6013000.0,4699000.0
10,10,Income before taxes,321117000.0,312912000.0,342671000.0,301693000.0,250881000.0,230528000.0
11,11,Provision for income taxes,110845000.0,112300000.0,119410000.0,116009000.0,77093000.0,70311000.0
12,12,Net income from continuing operations,210272000.0,200612000.0,223261000.0,185684000.0,173788000.0,160217000.0
13,13,Net income from discontinuing ops,,,,1500000.0,-2895000.0,
14,14,Other,0.0,0.0,0.0,0.0,0.0,-2895000.0
15,15,Net income,210272000.0,200612000.0,223261000.0,187184000.0,170893000.0,157322000.0
16,16,Net income available to common shareholders,210272000.0,200612000.0,223261000.0,187184000.0,170893000.0,157322000.0
17,17,Earnings per share,,,,,,
18,18,Basic,2.04,1.99,2.26,1.93,1.8,1.67
19,19,Diluted,2.03,1.97,2.24,1.91,1.79,1.67
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,103030000.0,100727000.0,98989000.0,97222000.0,94897000.0,93660500.0
22,22,Diluted,103807000.0,101643000.0,99694000.0,97902000.0,95567000.0,94339500.0
23,23,EBITDA,403516000.0,398611000.0,427694000.0,434141000.0,377759000.0,359644000.0
