,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,1400255000.0,1469077000.0,1519978000.0,1662829000.0,1863981000.0,1524373000.0
1,1,Expenses,1317731000.0,1327053000.0,1345015000.0,1585568000.0,1868599000.0,1380301000.0
2,1,Operating expenses,864997000.0,863243000.0,839903000.0,885544000.0,907010000.0,824075000.0
3,1,Depreciation and amortization,332028000.0,337692000.0,371610000.0,560887000.0,821041000.0,422942000.0
4,1,"Sales, General and administrative",120706000.0,126118000.0,133502000.0,139137000.0,140548000.0,133284000.0
5,1,Total expenses,1317731000.0,1327053000.0,1345015000.0,1585568000.0,1868599000.0,1380301000.0
6,6,Operating income,82524000.0,142024000.0,174963000.0,77261000.0,-4618000.0,144072000.0
7,7,Interest income,1619000.0,2061000.0,2498000.0,2948000.0,2796000.0,2089000.0
8,8,Interest expenses,332188000.0,332276000.0,319898000.0,326818000.0,323995000.0,263074000.0
9,9,Gain on sale of equity investment,4940000.0,-65000.0,3895000.0,,-83000.0,3262000.0
10,10,Other income (expense),437062000.0,322914000.0,502271000.0,549519000.0,604811000.0,230355000.0
11,11,Income before income taxes,193957000.0,134658000.0,363729000.0,302910000.0,278911000.0,116704000.0
12,12,Net income from continuing operations,193957000.0,134658000.0,363729000.0,302910000.0,278911000.0,116704000.0
13,13,Net income from discontinuing ops,15743000.0,16625000.0,182134000.0,14549000.0,0.0,
14,14,Other,-13295000.0,-15912000.0,-9340000.0,-33375000.0,-29015000.0,704000.0
15,15,Net income,196405000.0,135371000.0,536523000.0,284084000.0,249896000.0,117408000.0
16,16,Preferred distributions,30411000.0,21881000.0,14952000.0,14952000.0,14950000.0,14950000.0
17,17,Other distributions,10010000.0,12160000.0,0.0,0.0,0.0,0.0
18,18,Net income available to common shareholders,155984000.0,101330000.0,521571000.0,269132000.0,234946000.0,102458000.0
19,19,Earnings per share,,,,,,
20,20,Basic,1.75,1.1,5.25,2.71,2.35,1.03
21,21,Diluted,1.74,1.1,5.23,2.7,2.34,1.03
22,22,Weighted average shares outstanding,,,,,,
23,23,Basic,89319000.0,92269000.0,99288000.0,99345000.0,100185000.0,99653250.0
24,24,Diluted,92873000.0,95266000.0,99696000.0,103734000.0,104881000.0,104520250.0
25,25,EBITDA,877684000.0,824533000.0,1083628000.0,1217966000.0,1448511000.0,819305000.0
