,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,10302079000.0,11390947000.0,12494921000.0,11513251000.0,10845645000.0,11099163000.0
1,1,Cost of revenue,3538235000.0,4256951000.0,4815651000.0,4094292000.0,3238405000.0,3588922000.0
2,2,Gross profit,6763844000.0,7133996000.0,7679270000.0,7418959000.0,7607240000.0,7510241000.0
3,3,Operating expenses,5462663000.0,5822566000.0,5672381000.0,7718124000.0,8493705000.0,9061461000.0
4,3,Operation and maintenance,3045392000.0,3331934000.0,3310536000.0,3354981000.0,3296711000.0,3464740000.0
5,3,Depreciation and amortization,1144585000.0,1261044000.0,1318638000.0,1337276000.0,1347187000.0,1389180000.0
6,3,Other operating expenses,1272686000.0,1229588000.0,1043207000.0,3025867000.0,3849807000.0,4207541000.0
7,3,Total operating expenses,5462663000.0,5822566000.0,5672381000.0,7718124000.0,8493705000.0,9061461000.0
8,8,Operating income,1301181000.0,1311430000.0,2006889000.0,-299165000.0,-886465000.0,-1551220000.0
9,9,Interest Expense,606596000.0,604037000.0,627507000.0,670096000.0,666370000.0,662883000.0
10,10,Other income (expense),204633000.0,249160000.0,170472000.0,169600000.0,171073000.0,295936000.0
11,11,Income before income taxes,899218000.0,956553000.0,1549854000.0,-799661000.0,-1381762000.0,-1918167000.0
12,12,Provision for income taxes,30855000.0,225981000.0,589597000.0,-642927000.0,-817259000.0,-1053693000.0
13,13,Net income from continuing operations,868363000.0,730572000.0,960257000.0,-156734000.0,-564503000.0,-864474000.0
14,14,Net income,868363000.0,730572000.0,960257000.0,-156734000.0,-564503000.0,-864474000.0
15,15,Preferred dividend,21690000.0,18670000.0,19536000.0,19828000.0,19115000.0,13867000.0
16,16,Net income available to common shareholders,846673000.0,711902000.0,940721000.0,-176562000.0,-583618000.0,-878341000.0
17,17,Earnings per share,,,,,,
18,18,Basic,4.77,3.99,5.24,-0.99,-3.26,-4.93
19,19,Diluted,4.76,3.99,5.22,-0.99,-3.26,-4.93
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,177324813.0,178211192.0,179506151.0,179176356.0,178885660.0,179376734.0
22,22,Diluted,177737565.0,178570400.0,180296885.0,179176356.0,178885660.0,179390420.0
23,23,EBITDA,3277463000.0,3572666000.0,4305253000.0,1987671000.0,1407899000.0,880700000.0
