,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,18339000000.0,18218000000.0,18205000000.0,18338000000.0,26487000000.0,26212000000.0
1,1,Cost of revenue,12499000000.0,11395000000.0,13360000000.0,12577000000.0,16901000000.0,16457000000.0
2,2,Gross profit,5840000000.0,6823000000.0,4845000000.0,5761000000.0,9586000000.0,9755000000.0
3,3,Operating expenses,3170000000.0,2232000000.0,2955000000.0,3122000000.0,3444000000.0,3042000000.0
4,3,"Sales, General and administrative",3029000000.0,2124000000.0,2956000000.0,3122000000.0,3444000000.0,3042000000.0
5,3,Other operating expenses,141000000.0,108000000.0,-1000000.0,0.0,0.0,0.0
6,3,Total operating expenses,3170000000.0,2232000000.0,2955000000.0,3122000000.0,3444000000.0,3042000000.0
7,7,Operating income,2670000000.0,4591000000.0,1890000000.0,2639000000.0,6142000000.0,6713000000.0
8,8,Interest Expense,238000000.0,479000000.0,,1321000000.0,1134000000.0,1236000000.0
9,9,Other income (expense),21000000.0,-22000000.0,-484000000.0,-305000000.0,15000000.0,2000000.0
10,10,Income before taxes,2453000000.0,4090000000.0,1406000000.0,1013000000.0,5023000000.0,5479000000.0
11,11,Provision for income taxes,811000000.0,1375000000.0,363000000.0,366000000.0,1381000000.0,1541000000.0
12,12,Net income from continuing operations,1642000000.0,2715000000.0,1043000000.0,647000000.0,3642000000.0,3938000000.0
13,13,Other,0.0,0.0,0.0,-13000000.0,-10000000.0,2000000.0
14,14,Net income,1642000000.0,2715000000.0,1043000000.0,634000000.0,3632000000.0,3940000000.0
15,15,Preferred dividend,0.0,0.0,0.0,900000000.0,180000000.0,0.0
16,16,Net income available to common shareholders,1642000000.0,2715000000.0,1043000000.0,-266000000.0,3452000000.0,3940000000.0
17,17,Earnings per share,,,,,,
18,18,Basic,2.77,4.55,1.75,-0.34,2.84,3.24
19,19,Diluted,2.75,4.51,1.74,-0.34,2.81,3.2
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,591000000.0,594000000.0,593000000.0,786000000.0,1217000000.0,1218500000.0
22,22,Diluted,596000000.0,599000000.0,598000000.0,786000000.0,1226000000.0,1228250000.0
23,23,EBITDA,3119000000.0,4962000000.0,2275000000.0,3074000000.0,7494000000.0,7832000000.0
