,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,21063000000.0,21152000000.0,19724000000.0,18591000000.0,18202000000.0,18221000000.0
1,1,Cost of revenue,14314000000.0,13912000000.0,13041000000.0,11967000000.0,11551000000.0,11588000000.0
2,2,Gross profit,6749000000.0,7240000000.0,6683000000.0,6624000000.0,6651000000.0,6633000000.0
3,3,Operating expenses,4063000000.0,4032000000.0,4162000000.0,5011000000.0,3334000000.0,3307000000.0
4,3,"Sales, General and administrative",4069000000.0,4028000000.0,3709000000.0,3443000000.0,3326000000.0,3289000000.0
5,3,Other operating expenses,-6000000.0,4000000.0,453000000.0,1568000000.0,8000000.0,18000000.0
6,3,Total operating expenses,4063000000.0,4032000000.0,4162000000.0,5011000000.0,3334000000.0,3307000000.0
7,7,Operating income,2686000000.0,3208000000.0,2521000000.0,1613000000.0,3317000000.0,3326000000.0
8,8,Interest Expense,284000000.0,283000000.0,284000000.0,295000000.0,319000000.0,327000000.0
9,9,Other income (expense),18000000.0,20000000.0,18000000.0,17000000.0,11000000.0,9000000.0
10,10,Income before taxes,2420000000.0,2945000000.0,2255000000.0,1335000000.0,3009000000.0,3008000000.0
11,11,Provision for income taxes,768000000.0,929000000.0,856000000.0,418000000.0,922000000.0,904000000.0
12,12,Other income,176000000.0,205000000.0,146000000.0,149000000.0,132000000.0,108000000.0
13,13,Net income from continuing operations,1828000000.0,2221000000.0,1545000000.0,1066000000.0,2219000000.0,2212000000.0
14,14,Net income from discontinuing ops,,,50000000.0,0.0,0.0,
15,15,Other,-78000000.0,-79000000.0,-69000000.0,-53000000.0,-53000000.0,-46000000.0
16,16,Net income,1750000000.0,2142000000.0,1526000000.0,1013000000.0,2166000000.0,2166000000.0
17,17,Net income available to common shareholders,1750000000.0,2142000000.0,1526000000.0,1013000000.0,2166000000.0,2166000000.0
18,18,Earnings per share,,,,,,
19,19,Basic,4.45,5.58,4.07,2.78,6.03,6.11
20,20,Diluted,4.42,5.53,4.04,2.77,5.99,6.07
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,393000000.0,384000000.0,374500000.0,363800000.0,359400000.0,355200000.0
23,23,Diluted,396100000.0,387300000.0,377400000.0,366300000.0,361700000.0,357425000.0
24,24,EBITDA,3561000000.0,4091000000.0,3401000000.0,2376000000.0,4033000000.0,4052000000.0
