,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,2937900000.0,3056500000.0,3277700000.0,3352800000.0,3430400000.0,3602100000.0
1,1,Cost of revenue,1547900000.0,1583600000.0,1693400000.0,1704500000.0,1720800000.0,1798600000.0
2,2,Gross profit,1390000000.0,1472900000.0,1584300000.0,1648300000.0,1709600000.0,1803500000.0
3,3,Operating expenses,873600000.0,886700000.0,899600000.0,883500000.0,855400000.0,906400000.0
4,3,"Sales, General and administrative",980300000.0,1012400000.0,1048700000.0,1053700000.0,1054100000.0,1121100000.0
5,3,Other operating expenses,-106700000.0,-125700000.0,-149100000.0,-170200000.0,-198700000.0,-214700000.0
6,3,Total operating expenses,873600000.0,886700000.0,899600000.0,883500000.0,855400000.0,906400000.0
7,7,Operating income,516400000.0,586200000.0,684700000.0,764800000.0,854200000.0,897100000.0
8,8,Interest Expense,55800000.0,56100000.0,52900000.0,51900000.0,52200000.0,51900000.0
9,9,Other income (expense),-400000.0,-3900000.0,-900000.0,-2400000.0,-600000.0,-6000000.0
10,10,Income before taxes,460200000.0,526200000.0,630900000.0,710500000.0,801400000.0,839200000.0
11,11,Provision for income taxes,148200000.0,166700000.0,199500000.0,221200000.0,244300000.0,252000000.0
12,12,Other income,2600000.0,200000.0,700000.0,1300000.0,2500000.0,1500000.0
13,13,Net income from continuing operations,314600000.0,359700000.0,432100000.0,490600000.0,559600000.0,588700000.0
14,14,Other,-8500000.0,-9400000.0,-10200000.0,-11900000.0,-13200000.0,-14200000.0
15,15,Net income,306100000.0,350300000.0,421900000.0,478700000.0,546400000.0,574500000.0
16,16,Net income available to common shareholders,306100000.0,350300000.0,421900000.0,478700000.0,546400000.0,574500000.0
17,17,Earnings per share,,,,,,
18,18,Basic,5.26,6.02,7.26,8.24,9.4,9.94
19,19,Diluted,5.2,5.93,7.14,8.1,9.2,9.73
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,58200000.0,58200000.0,58100000.0,58100000.0,58100000.0,57725000.0
22,22,Diluted,58900000.0,59100000.0,59100000.0,59100000.0,59400000.0,59025000.0
23,23,EBITDA,592700000.0,659000000.0,763300000.0,844900000.0,939200000.0,982200000.0
